"keys","ja","en","zh_CN","zh_TW","ko","ru"
"この階は広場のようになっており、中央まで運ばれ、降ろされた。[LF]目の前には物置くらいの大きさのサーバルの頭が、穏やかな表情で横たわって、[LF]じっとこちらを見つめていた。","この階は広場のようになっており、中央まで運ばれ、降ろされた。[LF]目の前には物置くらいの大きさのサーバルの頭が、穏やかな表情で横たわって、[LF]じっとこちらを見つめていた。","This floor is arranged like a plaza; I was carried to the center and put down. [LF]Right in front of me lay a Serval head about the size of a storage shed, staring intently at me [LF]with a serene expression on its face.","这层楼仿佛广场一般，自己被一路抬到中央后放了下来。[LF]眼前躺著一个大小如同储物间般的薮猫头，表情十分平静，[LF]静静地盯著这边看。","這層樓彷彿廣場一般，自己被一路抬到中央後放了下來。[LF]眼前躺著一個大小如同儲物間般的藪貓頭，表情十分平靜，[LF]靜靜地盯著這邊看。","이 층은 광장처럼 되어 있었고, 중앙까지 운반된 뒤 내려졌다.[LF]눈앞에는 창고만 한 크기의 서벌 머리가 온화한 표정으로 누워 있었고,[LF]가만히 이쪽을 바라보고 있었다.",""
"首から下は、複数体のサーバルが絡まって融合しているような、[LF]よくわからないモノがくっついていた。[LF]後ろから、たくさんのサーバルが、目の前の巨大なサーバルの口の中に押し込もうとしてくる。","首から下は、複数体のサーバルが絡まって融合しているような、[LF]よくわからないモノがくっついていた。[LF]後ろから、たくさんのサーバルが、目の前の巨大なサーバルの口の中に押し込もうとしてくる。","Attached below its neck was a bizarre, indistinguishable mass [LF]that looked as if multiple Servals were tangled and fused together. [LF]From behind, numerous Servals began trying to shove me into the mouth of the giant Serval in front of me.","脖子以下，连接著一个仿佛由多只薮猫纠缠融合而成的、[LF]搞不清楚究竟是什么的东西。[LF]从后方，许多薮猫正试图把自己推进眼前那只巨大薮猫的口中。","脖子以下，連接著一個彷彿由多隻藪貓糾纏融合而成的、[LF]搞不清楚究竟是什麼的東西。[LF]從後方，許多藪貓正試圖把自己推進眼前那隻巨大藪貓的口中。","목 아래는 여러 마리의 서벌이 뒤엉켜 융합된 듯한,[LF]정체를 알 수 없는 무언가가 붙어 있었다.[LF]뒤쪽에서는 많은 서벌들이 나를 눈앞의 거대한 서벌의 입 안으로 밀어 넣으려 하고 있었다.",""
"[color=green]●「交渉」スキル発動しました。[/color][LF][LF]ここから出たい事を伝えた。","[color=green]●「交渉」スキル発動しました。[/color][LF][LF]ここから出たい事を伝えた。","[color=green]● The ""Negotiation"" skill has been activated.[/color][LF][LF]I conveyed that I wanted to get out of here.","[color=green]●发动了「交涉」技能。[/color][LF][LF]我表达了想离开这里的意愿。","[color=green]●發動了「交涉」技能。[/color][LF][LF]我表達了想離開這裡的意願。","[color=green]●「교섭」 스킬이 발동되었습니다.[/color][LF][LF]여기서 나가고 싶다는 걸 전했다.",""
"「んみ・・・」","「んみ・・・」","[DQUOT]Mimi...[DQUOT]","“咪咪……”","「咪咪……」","「미・・・」","«Мимми...»"
"「うみんみゃ・・・」","「うみんみゃ・・・」","[DQUOT]U-minmya...[DQUOT]","“呜咪咪呀……”","「嗚咪咪呀……」","「우밈미야・・・」","«У-минмя...»"
"日本語にはなっていないが、こちらの問いかけに反応している。[LF]相手の意思もなんとなく伝わる。[LF]何か引き換えとなるものが必要なのかと尋ねた。","日本語にはなっていないが、こちらの問いかけに反応している。[LF]相手の意思もなんとなく伝わる。[LF]何か引き換えとなるものが必要なのかと尋ねた。","It is not in Japanese, but it responds to our queries.[LF]We can somehow sense its intent, too.[LF]We asked if it requires something in exchange.","虽然并不是日语，但对方确实对我的提问做出了反应。[LF]对方的意思也隐约能传达过来。[LF]我询问是否需要拿出某种交换的东西。","雖然並不是日語，但對方確實對我的提問做出了反應。[LF]對方的意思也隱約能傳達過來。[LF]我詢問是否需要拿出某種交換的東西。","일본어라고는 할 수 없지만, 이쪽의 질문에 반응하고 있다.[LF]상대의 의사도 어렴풋이 전해진다.[LF]무언가 맞교환할 것이 필요한지 물었다.",""
"「んみみみ・・・」","「んみみみ・・・」","[DQUOT]Mimimi...[DQUOT]","“咪咪咪……”","「咪咪咪……」","「밈미미・・・」","«Миммими...»"
"引き換えになるもの・・・","引き換えになるもの・・・","The thing given in exchange...","能作为交换的东西……","能作為交換的東西……","맞교환이 되는 것・・・",""
"代償を払う","代償を払う","Pay the price","付出代价","付出代價","대가를 치른다","Заплатить цену"
"何も思いつかない","何も思いつかない","Can't think of anything","什么也想不到","什麼也想不到","아무것도 떠오르지 않는다","Ничего не приходит в голову"
"時間切れだ。[LF]何も打開策が打ち出せず、そのまま、[LF]巨大サーバルに噛み砕かれていった。","時間切れだ。[LF]何も打開策が打ち出せず、そのまま、[LF]巨大サーバルに噛み砕かれていった。","Time is up. [LF]Without managing to come up with any breakthrough, [LF]we were crushed and devoured by the giant Serval just like that.","时间到了。[LF]什么突破口都没能想出来，就这样，[LF]被巨大的薮猫咬碎了。","時間到了。[LF]什麼突破口都沒能想出來，就這樣，[LF]被巨大的藪貓咬碎了。","시간 초과다.[LF]아무런 타개책도 떠올리지 못한 채,[LF]그대로 거대한 서벌에게 씹혀 삼켜졌다.",""
"・・・んみんみ・・・・・","・・・んみんみ・・・・・","[DQUOT]...Minmimi.....[DQUOT]","“……咪咪咪……”","……咪咪咪……","・・・밈미・・・・・","«...Минмимми.....»"
"・・・交渉成立？[LF]","・・・交渉成立？[LF]","...Negotiation successful? [LF]","……交涉成立？[LF]","……交涉成立？[LF]","・・・교섭성립？",""
"刹那、周りの風景が、風で吹き飛ぶ落ち葉のように流れ去り、[LF]暗い水の中に落ちたような衝撃を受けた。[LF]","刹那、周りの風景が、風で吹き飛ぶ落ち葉のように流れ去り、[LF]暗い水の中に落ちたような衝撃を受けた。[LF]","In an instant, the surrounding landscape swept past like fallen leaves blown away by the wind, [LF]and I felt a shock as if I had dropped into dark water. [LF]","刹那间，周围的景色仿佛被风吹散的落叶般流逝而去，[LF]感受到一阵仿佛坠入黑暗水中般的冲击。[LF]","剎那間，周圍的景色彷彿被風吹散的落葉般流逝而去，[LF]感受到一陣彷彿墜入黑暗水中般的衝擊。[LF]","순간, 주변 풍경이 바람에 날리는 낙엽처럼 흩어져 사라지고,[LF]어두운 물속에 떨어진 듯한 충격이 밀려왔다.",""
"水の中をしばらく漂っていると、自分の中から何かが抜けていったような気がした。[LF]何が抜けていったのかは、今はもうわからない。[LF]そして、視界が白く染まった。[LF]","水の中をしばらく漂っていると、自分の中から何かが抜けていったような気がした。[LF]何が抜けていったのかは、今はもうわからない。[LF]そして、視界が白く染まった。[LF]","As I drifted through the water for a while, I felt as though something had slipped out from within me. [LF]What exactly had slipped away, I can no longer tell. [LF]Then, my vision was dyed white. [LF]","在水中漂浮了一段时间后，感觉有什么东西从自己体内抽离了出去。[LF]至于抽离出去的究竟是什么，如今已经不清楚了。[LF]接著，视野染上了一片白色。[LF]","在水中漂浮了一段時間後，感覺有什麼東西從自己體內抽離了出去。[LF]至於抽離出去的究竟是什麼，如今已經不清楚了。[LF]接著，視野染上了一片白色。[LF]","물속을 한동안 떠다니고 있자, 내 안에서 무언가가 빠져나간 듯한 느낌이 들었다.[LF]무엇이 빠져나갔는지는 이제 알 수 없다.[LF]그리고 시야가 하얗게 물들었다.",""
"気がつくと、エレベーターの中にいた。","気がつくと、エレベーターの中にいた。","When I came to, I was inside the elevator.","等回过神来，自己已经身处电梯之中了。","等回過神來，自己已經身處電梯之中了。","정신을 차려보니, 엘리베이터 안에 있었다.",""
"多段ベッドがたくさん置かれており、フレンズ達が寝ている。[LF]起こさないよう、静かに進んでいく。","多段ベッドがたくさん置かれており、フレンズ達が寝ている。[LF]起こさないよう、静かに進んでいく。","Many bunk beds are placed here, and Friends are sleeping inside. [LF]We proceed quietly so as to not wake them up.","这里摆放著许多层架式的床铺，Friends们正在上面睡觉。[LF]为了不惊醒她们，我安静地往前走。","這裡擺放著許多層架式的床鋪，Friends們正在上面睡覺。[LF]為了不驚醒她們，我安靜地往前走。","2층 침대가 잔뜩 놓여 있고, 프렌즈들이 자고 있다.[LF]깨우지 않도록 조용히 나아간다.",""
"ふと、ベッドからはみだしそうな大きさの人影を見つけた。[LF]近づいてみると、自分が寝ていた。","ふと、ベッドからはみだしそうな大きさの人影を見つけた。[LF]近づいてみると、自分が寝ていた。","Suddenly, I notice a figure large enough to almost spill out of the bed. [LF]As I approach, I see myself sleeping there.","忽然，发现了一个大小几乎要从床铺上溢出来的人影。[LF]靠近一看，竟是自己在睡觉。","忽然，發現了一個大小幾乎要從床鋪上溢出來的人影。[LF]靠近一看，竟是自己在睡覺。","문득, 침대에서 삐져나올 것 같은 크기의 사람 그림자를 발견했다.[LF]가까이 가보니, 내가 자고 있었다.",""
"起こす","起こす","Wake up","唤醒","喚醒","깨운다","Разбудить"
"起こしたらどうなるかわかったものではない。","起こしたらどうなるかわかったものではない。","There is no telling what will happen if you wake it up.","要是把他叫醒，谁也不知道会发生什么事。","要是把他叫醒，誰也不知道會發生什麼事。","깨우면 무슨 일이 벌어질지 알 수 없다.",""
"気がつくと、ベッドに寝ていた。[LF]誰かに起こされた気がしたが、誰もいない。[LF]それよりも、ここはどこだ・・・","気がつくと、ベッドに寝ていた。[LF]誰かに起こされた気がしたが、誰もいない。[LF]それよりも、ここはどこだ・・・","When I came to, I was lying in a bed. [LF]I felt like someone had woken me up, but there was no one there. [LF]More importantly, where am I...","等回过神来，自己正躺在床上。[LF]感觉好像被谁叫醒了，但谁也不在。[LF]比起这个，这里到底是哪里……","等回過神來，自己正躺在床上。[LF]感覺好像被誰叫醒了，但誰也不在。[LF]比起這個，這裡到底是哪裡……","정신을 차려보니 침대에 누워 있었다.[LF]누군가가 깨운 것 같은 느낌이 들었지만 아무도 없다.[LF]그보다, 여기가 어디지・・・",""
"幸い、エレベーターはすぐ近くにあった。[LF][LF][color=green]●直前に探索していた階を忘れました。(忘れただけで、結果は残っています)[/color]","幸い、エレベーターはすぐ近くにあった。[LF][LF][color=green]●直前に探索していた階を忘れました。(忘れただけで、結果は残っています)[/color]","Fortunately, the elevator was right nearby. [LF][LF][color=green]● You have forgotten the floor you were exploring just prior to this. (You have merely forgotten; the results remain.)[/color]","幸好，电梯就在附近。[LF][LF][color=green]●忘记了刚才正在探索的楼层。（只是忘记了，结果依然会保留下来）[/color]","幸好，電梯就在附近。[LF][LF][color=green]●忘記了剛才正在探索的樓層。（只是忘記了，結果依然會保留下來）[/color]","다행히 엘리베이터는 바로 근처에 있었다.[LF][LF][color=green]●직전에 탐색하던 층을 잊어버렸습니다. (잊은 것뿐이며 결과는 유지됩니다)[/color]",""
"ベッドから出る。[LF]もう仕組みは理解している。","ベッドから出る。[LF]もう仕組みは理解している。","Get out of bed.[LF]I already understand how it works.","从床上起身。[LF]已经明白这其中的机制了。","從床上起身。[LF]已經明白這其中的機制了。","침대에서 나온다.[LF]이미 시스템은 이해하고 있다.",""
"気がつくと、ベッドに寝ていた。[LF]誰かに起こされた気がしたが、誰もいない。","気がつくと、ベッドに寝ていた。[LF]誰かに起こされた気がしたが、誰もいない。","When I came to, I was lying in a bed. [LF]I felt like someone had woken me up, but there was no one around.","等回过神来，自己正躺在床上。[LF]感觉好像被谁叫醒了，但谁也不在。","等回過神來，自己正躺在床上。[LF]感覺好像被誰叫醒了，但誰也不在。","정신을 차려보니 침대에 누워 있었다.[LF]누군가가 깨운 것 같은 느낌이 들었지만 아무도 없다.",""
"[color=green]●「転送耐性」スキル発動しました。[/color]","[color=green]●「転送耐性」スキル発動しました。[/color]","[color=green]● The ""Teleportation Resistance"" skill has been activated.[/color]","[color=green]●发动了「传送耐性」技能。[/color]","[color=green]●發動了「傳送耐性」技能。[/color]","[color=green]●「전송 내성」 스킬이 발동했습니다.[/color]",""
"いや待て・・・起こしたのも、起こされたのも、自分だ。[LF]起こした瞬間に、起こした方が消え、寝ていた方が自分になるんだ。","いや待て・・・起こしたのも、起こされたのも、自分だ。[LF]起こした瞬間に、起こした方が消え、寝ていた方が自分になるんだ。","No, wait... the one who did the waking, and the one who got woken up, were both me. [LF]The moment I was woken up, the version of me that did the waking vanished, and the sleeping version became me.","不，等等……叫醒人的，跟被叫醒的，都是自己。[LF]在叫醒的瞬间，叫醒人的那一方会消失，而原本在睡觉的那一方就会变成自己。","不，等等……叫醒人的，跟被叫醒的，都是自己。[LF]在叫醒的瞬間，叫醒人的那一方會消失，而原本在睡覺的那一方就會變成自己。","잠깐만・・・ 깨운 것도, 깨워진 것도 나 자신이다.[LF]깨우는 순간 깨운 쪽이 사라지고, 자고 있던 쪽이 자신이 된다.",""
"そして、体力が戻っている。[LF]まるで、直前までの行動が夢だったかのように。","そして、体力が戻っている。[LF]まるで、直前までの行動が夢だったかのように。","And my physical strength has fully recovered. [LF]It is as if everything I had been doing up until just a moment ago was nothing but a dream.","而且，体力也恢复了。[LF]仿佛刚才为止所做的一切行动都只是一场梦一样。","而且，體力也恢復了。[LF]彷彿剛才為止所做的一切行動都只是一場夢一樣。","그리고 체력이 회복되어 있다.[LF]마치 직전까지의 행동이 꿈이었던 것처럼.",""
"危なくなったら、この階に来れば立て直せるかもしれない。[LF]いや、それよりも、起きればここで目が覚めるんだから・・・","危なくなったら、この階に来れば立て直せるかもしれない。[LF]いや、それよりも、起きればここで目が覚めるんだから・・・","If things get dangerous, coming back to this floor might allow me to regroup. [LF]No, more importantly, since I will always wake up here when it happens...","万一陷入危险，只要回到这层楼，或许就能重新振作起来。[LF]不，比起这个，反正只要醒来，就会在这里睁开眼睛……","萬一陷入危險，只要回到這層樓，或許就能重新振作起來。[LF]不，比起這個，反正只要醒來，就會在這裡睜開眼睛……","위험해지면 이 층으로 오면 다시 정비할 수 있을지도 모른다.[LF]아니, 그냥 잠들면 여기서 깨어나는 건가・・・",""
"例えば、寝ている自分にイヤホンを付けておいて、非常時に遠隔操作で音を流して起こすのはどうだ？[LF]それならどこにいても、瞬時に回復して立て直せる。[LF][LF][color=green]●行動「仮眠室」が解禁されました。[/color]","例えば、寝ている自分にイヤホンを付けておいて、非常時に遠隔操作で音を流して起こすのはどうだ？[LF]それならどこにいても、瞬時に回復して立て直せる。[LF][LF][color=green]●行動「仮眠室」が解禁されました。[/color]","For example, what if I put earphones on my sleeping self and play a sound via remote control to wake me up in an emergency? [LF]If I do that, no matter where I am, I can instantly recover and regroup. [LF][LF][color=green]● Action ""Nap Room"" has been unlocked.[/color]","比方说，先在睡著的自己身上戴上耳机，紧急时就用远端操控播放声音叫醒自己，这样如何？[LF]这样一来，无论身处何方，都能瞬间恢复并重新振作。[LF][LF][color=green]●行动「休憩室」已解锁。[/color]","比方說，先在睡著的自己身上戴上耳機，緊急時就用遠端操控播放聲音叫醒自己，這樣如何？[LF]這樣一來，無論身處何方，都能瞬間恢復並重新振作。[LF][LF][color=green]●行動「休憩室」已解鎖。[/color]","예를 들어 자고 있는 나에게 이어폰을 끼워두고 위급 시 원격으로 소리를 틀어 깨우는 건 어떨까?[LF]그러면 어디서든 즉시 회복해서 재정비할 수 있다.[LF][LF][color=green]●행동「휴식실」이 해금되었습니다.[/color]",""
"窓もドアもない廊下が伸びている。灯りも無いようだ。[LF]少し歩きかけて、後ろでエレベーターが閉まりだしたので、[LF]自分のライトを点けるためにエレベーターの明かりを利用しようと振り返った。","窓もドアもない廊下が伸びている。灯りも無いようだ。[LF]少し歩きかけて、後ろでエレベーターが閉まりだしたので、[LF]自分のライトを点けるためにエレベーターの明かりを利用しようと振り返った。","A corridor with no windows or doors stretches out ahead. There seems to be no light either.[LF]I started walking a little, but the elevator behind me began to close,[LF]so I turned around to use the light from the elevator to switch on my own flashlight.","一条没有窗户也没有门的走廊向前延伸著。似乎也没有照明。[LF]稍微往前走了几步，发现身后的电梯开始关闭，[LF]为了利用电梯的光来点亮自己的手电筒，我转身回头。","一條沒有窗戶也沒有門的走廊向前延伸著。似乎也沒有照明。[LF]稍微往前走了幾步，發現身後的電梯開始關閉，[LF]為了利用電梯的光來點亮自己的手電筒，我轉身回頭。","창문도 문도 없는 복도가 길게 이어져 있다. 불빛도 없는 것 같다.[LF]조금 걷다가 뒤에서 엘리베이터가 닫히기 시작하자,[LF]자신의 손전등을 켜기 위해 엘리베이터의 빛을 이용하려고 뒤를 돌아봤다.",""
"閉まりゆくエレベーターのドアは、壁や床と同じコンクリートでできていた。[LF]そして、エレベーターのボタンも無かった。[LF]気づいた時には、エレベーターは完全に閉まり、コンクリートの暗闇に閉じ込められた。","閉まりゆくエレベーターのドアは、壁や床と同じコンクリートでできていた。[LF]そして、エレベーターのボタンも無かった。[LF]気づいた時には、エレベーターは完全に閉まり、コンクリートの暗闇に閉じ込められた。","The closing elevator doors were made of the same concrete as the walls and floor.[LF]Furthermore, there were no elevator buttons either.[LF]By the time I realized it, the elevator had completely closed, and I was trapped in the concrete darkness.","正在阖上的电梯门，竟是用跟墙壁与地板相同的混凝土做成的。[LF]而且，电梯上也没有任何按钮。[LF]察觉到的时候，电梯已经完全关上，自己被囚禁在了混凝土构成的黑暗之中。","正在闔上的電梯門，竟是用跟牆壁與地板相同的混凝土做成的。[LF]而且，電梯上也沒有任何按鈕。[LF]察覺到的時候，電梯已經完全關上，自己被囚禁在了混凝土構成的黑暗之中。","닫혀가는 엘리베이터 문은 벽과 바닥과 같은 콘크리트로 되어 있었다.[LF]그리고 엘리베이터 버튼도 없었다.[LF]눈치챘을 때는 이미 완전히 닫혀, 콘크리트의 어둠 속에 갇혀 있었다.",""
"なんとかライトを付け、辺りを見渡すと、[LF]廊下はすぐに行き止まりになっていた。それと、白骨化した死体。[LF]つまり、偶然ここに誰かがやってくるのを、待つしかなかった。","なんとかライトを付け、辺りを見渡すと、[LF]廊下はすぐに行き止まりになっていた。それと、白骨化した死体。[LF]つまり、偶然ここに誰かがやってくるのを、待つしかなかった。","I managed to turn on my light and looked around,[LF]only to find that the corridor led to a dead end just ahead. Along with a skeletonized corpse.[LF]In other words, I had no choice but to wait for someone to happen to come here.","想办法点亮了手电筒，环顾四周后，[LF]发现走廊很快就到了尽头。除此之外，还有一具已经化为白骨的尸体。[LF]也就是说，自己只能等待，等待某个人偶然来到这里。","想辦法點亮了手電筒，環顧四周後，[LF]發現走廊很快就到了盡頭。除此之外，還有一具已經化為白骨的屍體。[LF]也就是說，自己只能等待，等待某個人偶然來到這裡。","어찌저찌 라이트를 켜 주변을 살펴보니,[LF]복도는 금방 막다른 길이었다. 그리고 백골화된 시체.[LF]즉, 누군가 여기로 와주기만을 기다리는 수밖에 없다.",""
"この階はエレベーターに書いてあるから、[LF]誰かが訪れる可能性はある。はず。[LF]大丈夫。冷静に。","この階はエレベーターに書いてあるから、[LF]誰かが訪れる可能性はある。はず。[LF]大丈夫。冷静に。","Since this floor is written in the elevator,[LF]there is a possibility that someone will visit. There must be.[LF]It's okay. Stay calm.","因为这层楼的资讯写在电梯里，[LF]所以应该还是有人会来造访的可能性。应该。[LF]没问题的。冷静下来。","因為這層樓的資訊寫在電梯裡，[LF]所以應該還是有人會來造訪的可能性。應該。[LF]沒問題的。冷靜下來。","이 층은 엘리베이터에 적혀 있으니,[LF]누군가 올 가능성은 있다. 있을 것이다.[LF]괜찮아. 침착하자.",""
"待つ(+1日)","待つ(+1日)","Wait (+1 Day)","等待（+1天）","等待（+1天）","기다린다(+1일)","Подождать (+1 день)"
"諦める","諦める","Give up","放弃","放棄","포기한다","Сдаться"
"開いた・・・開いた！！[LF]エレベーターのドアに自分の腕を突っ込んで、咳き込んだ。[LF]食料を口に運ぶこの腕しか、とっさに動かなかったのだ。[LF]誰が訪れてくれたのかも、申し訳ない事に覚えていない。","開いた・・・開いた！！[LF]エレベーターのドアに自分の腕を突っ込んで、咳き込んだ。[LF]食料を口に運ぶこの腕しか、とっさに動かなかったのだ。[LF]誰が訪れてくれたのかも、申し訳ない事に覚えていない。","It opened... It opened!! [LF]I jammed my own arm into the elevator doors and coughed violently. [LF]This arm, the very one I use to feed myself, was the only thing that moved instinctively in that split second. [LF]I don't even remember who came to visit me, and for that, I am truly sorry.","开了……开了！！[LF]我把自己的手臂伸进电梯门里，咳了起来。[LF]当时能瞬间动起来的，只有这只负责把食物送进嘴里的手臂而已。[LF]至于是谁前来造访的，很抱歉，我已经不记得了。","開了……開了！！[LF]我把自己的手臂伸進電梯門裡，咳了起來。[LF]當時能瞬間動起來的，只有這隻負責把食物送進嘴裡的手臂而已。[LF]至於是誰前來造訪的，很抱歉，我已經不記得了。","열렸다・・・ 열렸어！！[LF]엘리베이터 문에 팔을 찔러 넣은 채로 기침이 나왔다.[LF]그 순간 움직인 것은 먹을 것을 입에 가져가던 이 팔뿐이었다.[LF]누가 와줬는지는, 미안하게도 기억이 나지 않는다.",""
"同じ思いは二度とごめんだが、[LF]心が壊れる前に閉ざすコツを身に付けたような、気がする…","同じ思いは二度とごめんだが、[LF]心が壊れる前に閉ざすコツを身に付けたような、気がする…","I never want to experience that same feeling ever again, [LF]but I feel as though... I've learned the trick to shutting down my mind before it completely breaks...","虽然再也不想经历同样的感受了，[LF]但感觉自己似乎在心灵崩溃之前，学会了封闭自我的诀窍……","雖然再也不想經歷同樣的感受了，[LF]但感覺自己似乎在心靈崩潰之前，學會了封閉自我的訣竅……","같은 일은 두 번 다시 겪고 싶지 않지만,[LF]정신이 무너지기 전에 마음을 닫아 버리는 법은 익힌 것 같다…",""
"この階は探索済だ。[LF]エレベーター内からライトで短い廊下を照らし、[LF]誰もいないことを確認し、引き返した。","この階は探索済だ。[LF]エレベーター内からライトで短い廊下を照らし、[LF]誰もいないことを確認し、引き返した。","This floor has already been explored.[LF]I shined the light from inside the elevator to illuminate the short hallway,[LF]and after confirming that no one was there, I turned back.","这层楼已经探索完毕了。[LF]从电梯内用手电筒照亮了短短的走廊，[LF]确认没有任何人之后，便折返了。","這層樓已經探索完畢了。[LF]從電梯內用手電筒照亮了短短的走廊，[LF]確認沒有任何人之後，便折返了。","이 층은 이미 탐색 완료다.[LF]엘리베이터 안에서 라이트로 짧은 복도를 비추고,[LF]아무도 없는 것을 확인한 뒤 돌아갔다.",""
"今日は誰も来なかった。[LF]{m_screen_msg}","今日は誰も来なかった。[LF]{m_screen_msg}","No one came today. [LF]{m_screen_msg}","今天谁也没有来。[LF]{m_screen_msg}","今天誰也沒有來。[LF]{m_screen_msg}","오늘은 아무도 오지 않았다.[LF]{m_screen_msg}",""
"オオカワウソのフレンズが住んでいる階だ。","オオカワウソのフレンズが住んでいる階だ。","This is the floor where the Giant Otter Friends reside.","是巨獭Friends居住的楼层。","是巨獺Friends居住的樓層。","왕수달 프렌즈들이 살고 있는 층이다.",""
"水の中に潜む何かに追われつつも、なんとか調査を完了する事ができた。[LF]結論から言えば時間と命の無駄遣いだった。[LF]怪異はこの水棲生物のみだ。他には何もない。","水の中に潜む何かに追われつつも、なんとか調査を完了する事ができた。[LF]結論から言えば時間と命の無駄遣いだった。[LF]怪異はこの水棲生物のみだ。他には何もない。","While being pursued by something lurking in the water, I somehow managed to complete the investigation.[LF]To put it bluntly, it was a waste of time and life.[LF]This aquatic creature is the only Anomaly here. There is nothing else.","一边被潜伏在水中的某种东西追赶，总算还是完成了调查。[LF]结论而言，这完全是在浪费时间与生命。[LF]怪异就只有这个水生生物而已。其他什么都没有。","一邊被潛伏在水中的某種東西追趕，總算還是完成了調查。[LF]結論而言，這完全是在浪費時間與生命。[LF]怪異就只有這個水生生物而已。其他什麼都沒有。","물속에 잠복한 무언가에게 쫓기면서도 어떻게든 조사를 마칠 수 있었다.[LF]결론부터 말하자면 시간과 목숨 낭비였다.[LF]괴이는 이 수생 생물뿐이다. 다른 건 아무것도 없다.",""
"「павильон」と書かれた色褪せた垂れ幕をくぐると、そこは小さな部屋があるだけの階だった。[LF]賑やかさを演出しようとカラフルな布が壁に張られているものの、[LF]部屋自体が薄暗く汚れているために、[LF]その明るさがかえって寂しさと不気味さを際立たせてしまっている。","「павильон」と書かれた色褪せた垂れ幕をくぐると、そこは小さな部屋があるだけの階だった。[LF]賑やかさを演出しようとカラフルな布が壁に張られているものの、[LF]部屋自体が薄暗く汚れているために、[LF]その明るさがかえって寂しさと不気味さを際立たせてしまっている。","Passing under a faded banner with ""павильон"" written on it, you find yourself on a floor with nothing but a small room.[LF]Although colorful fabric is stretched across the walls in an attempt to create a festive atmosphere,[LF]because the room itself is dim and dirty,[LF]that brightness conversely accentuates the loneliness and eeriness.","穿过写著「павильон」、已经褪色的垂幕后，那里是个只有一个小房间的楼层。[LF]虽然墙上贴著色彩缤纷的布，试图营造出热闹的气氛，[LF]但由于房间本身昏暗又脏污，[LF]那份鲜艳的色彩反而更加凸显出寂寥与诡异的氛围。","穿過寫著「павильон」、已經褪色的垂幕後，那裡是個只有一個小房間的樓層。[LF]雖然牆上貼著色彩繽紛的布，試圖營造出熱鬧的氣氛，[LF]但由於房間本身昏暗又髒污，[LF]那份鮮豔的色彩反而更加凸顯出寂寥與詭異的氛圍。","「павильон」이라고 적힌 빛바랜 현수막을 지나자, 작은 방 하나뿐인 층이었다.[LF]왁자한 분위기를 내려고 알록달록한 천을 벽에 붙여놨지만,[LF]오히려 방 자체가 어둡고 지저분해서,[LF]그 밝음이 더 쓸쓸하고 기괴하게 느껴진다.",""
"それよりも、目につくのは部屋中央に鎮座した謎の機械だ。[LF]たくさんのLEDライトと方向キー、紙幣の挿入口がついている。[LF]ボロボロに破れたマニュアルがぶら下がっている。","それよりも、目につくのは部屋中央に鎮座した謎の機械だ。[LF]たくさんのLEDライトと方向キー、紙幣の挿入口がついている。[LF]ボロボロに破れたマニュアルがぶら下がっている。","More than that, what catches your eye is a mysterious machine ensconced in the center of the room.[LF]It is equipped with numerous LED lights, a directional pad, and a bill slot.[LF]A tattered, torn manual hangs from it.","比起这些，更引人注目的，是端坐在房间中央的神秘机器。[LF]上面附有许多LED灯、方向键，以及一个纸钞投入口。[LF]旁边挂著一本破烂不堪的说明书。","比起這些，更引人注目的，是端坐在房間中央的神秘機器。[LF]上面附有許多LED燈、方向鍵，以及一個紙鈔投入口。[LF]旁邊掛著一本破爛不堪的說明書。","그보다 더 눈에 띄는 건 방 한가운데에 떡하니 놓인 정체불명의 기계다.[LF]LED가 잔뜩 달려 있고 방향키, 지폐 투입구까지 붙어 있다.[LF]찢어진 사용설명서가 덜렁 매달려 있다.",""
"機械を起動","機械を起動","Start the machine","启动机器","啟動機器","기계를 작동한다","Запустить машину"
"マニュアルを読む","マニュアルを読む","Read the manual","阅读手册","閱讀手冊","설명서를 읽은다","Прочитать руководство"
"紙幣挿入口を調べる","紙幣挿入口を調べる","Examine the bill slot","检查纸币投入口","檢查紙幣投入口","지폐 투입구를 살펴본다","Осмотреть купюроприемник"
